Name=traffic_small.txt
StartTime=11:02:18
EndTime=11:49:14
*******************

TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 36.50, Y: 13.53, Vx: 235, Vy: 447, Afl: 280, Rate: 0, Heading: 28, GroundSpeed: 505, Tendency: 0, Time: 11:02:18
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 89.88, Y: -291.41, Vx: -6, Vy: -374, Afl: 200, Rate: 0, Heading: 181, GroundSpeed: 374, Tendency: 0, Time: 11:02:18
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 37.02, Y: 14.52, Vx: 238, Vy: 452, Afl: 280, Rate: 0, Heading: 28, GroundSpeed: 511, Tendency: 0, Time: 11:02:26
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 89.86, Y: -292.23, Vx: 72, Vy: -367, Afl: 200, Rate: 0, Heading: 169, GroundSpeed: 374, Tendency: 0, Time: 11:02:26
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 37.55, Y: 15.53, Vx: 239, Vy: 454, Afl: 280, Rate: 0, Heading: 28, GroundSpeed: 513, Tendency: 0, Time: 11:02:34
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 90.02, Y: -293.05, Vx: 215, Vy: -306, Afl: 200, Rate: 0, Heading: 145, GroundSpeed: 374, Tendency: 0, Time: 11:02:34
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 90.50, Y: -293.73, Vx: 274, Vy: -255, Afl: 200, Rate: 0, Heading: 133, GroundSpeed: 374, Tendency: 0, Time: 11:02:42
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 91.11, Y: -294.30, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:02:50
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 91.80, Y: -294.75, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:02:58
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 92.50, Y: -295.20, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:03:06
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 93.19, Y: -295.67, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:03:14
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 93.89, Y: -296.13, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:03:22
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 94.58, Y: -296.58, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:03:30
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 95.28, Y: -297.03, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:03:38
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 95.97, Y: -297.48, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:03:46
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 96.67, Y: -297.94, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:03:54
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 97.36, Y: -298.39, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:04:02
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 98.06, Y: -298.86, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:04:10
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 98.75, Y: -299.31, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:04:18
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 99.45, Y: -299.77, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:04:26
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 100.14, Y: -300.22, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:04:34
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 47.89, Y: 29.95, Vx: 428, Vy: 250, Afl: 240, Rate: 0, Heading: 60, GroundSpeed: 496, Tendency: 0, Time: 11:04:42
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 100.84, Y: -300.67, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:04:42
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 48.84, Y: 30.52, Vx: 428, Vy: 250, Afl: 240, Rate: 0, Heading: 60, GroundSpeed: 496, Tendency: 0, Time: 11:04:50
